,IntLoad_Corezn,IntLoad_Topzn1,IntLoad_Topzn2,IntLoad_Topzn3,IntLoad_Topzn4,DiffuseSolar,DirectSolar
2006-10-05 23:00:00,4863.302773953531,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-06 00:00:00,4815.958175630132,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-06 01:00:00,4830.141121809492,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-06 02:00:00,4918.1431968958805,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-06 03:00:00,6426.656690719305,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-06 04:00:00,6549.316341108355,536.2266514982348,345.5572891132426,536.2149260838319,345.5572891132426,0.0,0.0
2006-10-06 05:00:00,6660.214613704761,613.0499933037481,396.2704526129846,615.5416079060823,395.9006802659905,0.0,0.0
2006-10-06 06:00:00,7207.125600389727,771.8289422460222,493.1129353946287,774.9975397252497,503.33864492743925,6.0,125.0
2006-10-06 07:00:00,18586.322031991294,2139.4917337258657,1363.92004367147,2186.38416018325,1424.401762214908,32.0,583.0
2006-10-06 08:00:00,18570.113536688885,2073.9762834322887,1335.694533859246,2099.712469700972,1377.734889837165,44.0,759.0
2006-10-06 09:00:00,18595.682818119552,2074.032098580932,1335.3913521155378,2091.902272396125,1379.1064899581047,68.0,856.0
2006-10-06 10:00:00,18596.97932320278,2073.9884546230455,1325.7573901334501,2073.971536161346,1358.3937706964512,107.0,778.0
2006-10-06 11:00:00,14663.381736560796,1577.9736512427903,1015.8074814226995,1577.9826967937865,1016.0030710737624,85.0,919.0
2006-10-06 12:00:00,18763.866230890475,2060.457092483948,1335.4934483632069,2073.9576860222087,1335.7402230453113,95.0,918.0
2006-10-06 13:00:00,18724.76719782874,2031.2193149377676,1335.5290474851017,2073.9298367912597,1335.5656755678344,113.0,884.0
2006-10-06 14:00:00,18494.128126372525,2022.966442048934,1335.5417887277456,2073.9401671028954,1335.5667178163117,76.0,875.0
2006-10-06 15:00:00,18476.59362537701,2044.7466387842426,1335.5471983594157,2073.939143975126,1335.5601320642081,137.0,688.0
2006-10-06 16:00:00,9285.192287611573,964.2911545980326,621.444632500826,965.1622355057376,621.4477159348468,54.0,632.0
2006-10-06 17:00:00,6285.8318725007375,661.325072468321,433.1277983944993,672.1016761487147,412.0127500592106,10.0,283.0
2006-10-06 18:00:00,6234.588310397877,672.1112228560044,433.12739180817994,672.1009792404768,433.1241077969321,0.0,0.0
2006-10-06 19:00:00,5947.347969262992,644.0668124136126,415.05226546381556,644.0529865247856,415.05197370423775,0.0,0.0
2006-10-06 20:00:00,5976.3103697560855,644.0664006729979,415.1103400474867,645.1009014318158,415.63976153420884,0.0,0.0
2006-10-06 21:00:00,5326.214752503681,574.9646396693619,370.9707303130943,576.0605012964081,371.43265563575494,0.0,0.0
2006-10-06 22:00:00,5155.77954329927,556.8376115305098,359.5707938329702,558.8004045966056,359.49223489575047,0.0,0.0
2006-10-06 23:00:00,4859.116946511073,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-07 00:00:00,3792.0776905788384,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 01:00:00,3806.1948457845137,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 02:00:00,3847.091776693313,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 03:00:00,5404.854824332413,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 04:00:00,5404.854824332413,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 05:00:00,6663.188949001324,611.530000275253,395.3511341562671,614.9259850628423,394.6926412294884,0.0,0.0
2006-10-07 06:00:00,6582.172036269581,623.6904887410047,403.2118560745223,625.9344774701458,404.64802543766143,5.0,122.0
2006-10-07 07:00:00,9233.982008291765,950.454574896369,607.1367563969357,967.8735159172261,633.8328182244504,28.0,581.0
2006-10-07 08:00:00,8859.257374203165,938.2743194341481,600.1431002380766,950.7381500205296,617.3790146837357,41.0,750.0
2006-10-07 09:00:00,9068.660477357302,930.5897978859693,599.3962150172091,947.4434794906039,617.2887826719923,61.0,838.0
2006-10-07 10:00:00,8774.923152705618,930.5665797023735,599.356803411544,939.230479580963,613.5057052367254,80.0,869.0
2006-10-07 11:00:00,5759.167622478772,550.6951589191119,354.7013545940366,550.6876218563052,356.38571518333345,91.0,908.0
2006-10-07 12:00:00,5805.486028279275,550.6951697433317,354.7186592233644,550.6843325286319,357.0503574329056,85.0,948.0
2006-10-07 13:00:00,5789.655779521973,548.1433819213963,354.72071549943007,550.6872585149338,355.25482412615133,104.0,947.0
2006-10-07 14:00:00,6124.215532932147,547.3635900114899,354.7204517776127,550.6869159034594,354.8592914062033,66.0,911.0
2006-10-07 15:00:00,6041.236596675239,549.6682366623454,354.7204033631297,550.686232406475,354.7350209133274,142.0,687.0
2006-10-07 16:00:00,5420.815239741365,429.0452786992583,276.47029683582366,429.09408404433196,276.4726825702419,46.0,685.0
2006-10-07 17:00:00,5354.986296539039,434.46642055669133,279.98592997963397,434.4652250871877,276.4659455592973,9.0,317.0
2006-10-07 18:00:00,5029.631004026108,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 19:00:00,5028.545901760597,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 20:00:00,4903.2037060055845,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 21:00:00,4920.234788921601,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 22:00:00,5131.967339014809,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-07 23:00:00,5136.256569116441,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-08 00:00:00,5404.854824332413,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-08 01:00:00,5404.854824332413,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-08 02:00:00,5404.854824332413,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-08 03:00:00,5404.854824332413,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-08 04:00:00,5404.854824332413,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-08 05:00:00,5693.070614052599,431.36668365053424,278.74320975216006,433.5542766420966,278.1552674519159,0.0,0.0
2006-10-08 06:00:00,5318.684410151894,431.5631154117661,278.83767731521465,433.632198206437,278.2877853336769,0.0,0.0
