,CoiloutletEnthalpy,CoilinletEnthalpy,Chillerpower,Fanpower,HeatSP,CoolSPCore,CoolSPPerimeter1,CoolSPPerimeter2,CoolSPPerimeter3,CoolSPPerimeter4,Drybulb,Wetbulb,HVAC_Corezn,HVAC_Topzn1,HVAC_Topzn2,HVAC_Topzn3,HVAC_Topzn4
2006-06-25 02:00:00,39936.63369678971,53002.43611725254,9667.230322943262,2280.307826359046,15.6000003814697,25.962,24.087,23.669,23.395,23.023,31.1,19.674856941062863,-16873.26762707604,-3409.423091173039,-3124.144201401643,-4648.6773608000785,-4120.89200612182
2006-06-25 03:00:00,40176.93313786578,53074.085297422105,9640.584263526654,2098.133960817663,15.6000003814697,25.962,24.906,25.439,23.395,25.354,30.6,19.523647771185093,-16719.21374514569,-3343.7941220017688,-2377.3374182423177,-4032.4795084581633,-3109.4362237331075
2006-06-25 04:00:00,41393.79340752611,53899.46082206344,9741.64540265935,2119.1860871622093,15.6000003814697,25.962,23.203,24.336,25.373,25.354,30.0,19.909589484623393,-16582.607282725665,-4350.955619064898,-2359.686537987451,-3216.9863405133865,-3082.8657872268614
2006-06-25 05:00:00,42227.17791074146,54323.811197818824,9788.108574322045,2195.262094631197,15.600000381469698,25.962,24.864999999999995,25.765,23.155,23.773,29.4,20.04557002638321,-16481.47171579818,-3280.735676886695,-2552.2703298316464,-5243.291837372813,-3066.6903716216566
2006-06-25 06:00:00,42417.38009253798,54971.58507684342,9896.19916401394,2722.6837975736316,15.6000003814697,23.665,23.928,25.765,23.155,25.794,30.6,20.376649537205786,-16620.469278203214,-3431.0881920562642,-6025.916313733551,-8820.69916577702,-3183.099670082949
2006-06-25 07:00:00,35317.23535251443,56286.778468814395,14787.64452177901,3280.5656840490456,15.6000003814697,23.665,25.696,23.446,23.155,25.794,32.2,20.952000715366008,-22235.03040145418,-4652.273484902506,-16831.0528627194,-9782.044169992994,-4301.220682833353
2006-06-25 08:00:00,35394.78977422815,56221.7040954247,13410.886298113131,2815.547896541237,15.600000381469702,23.665,25.696000000000005,24.878,24.52,25.794,33.3,20.845756943883266,-22424.966919602546,-4795.6625896757205,-18002.257758854437,-4889.055641075634,-4407.855111648823
2006-06-25 09:00:00,35348.17025880529,56166.388979609284,13782.33038947549,2977.266325266746,15.600000381469698,23.665,25.695999999999998,24.877999999999997,24.519999999999996,23.427,34.4,20.90150552782181,-22743.801547028175,-4991.827191962498,-17682.496538621588,-5860.405825791018,-5553.687972293707
2006-06-25 10:00:00,36309.43782031663,57141.33246969849,14091.03607645039,3005.3014222454285,15.600000381469698,25.083,25.695999999999998,24.319999999999997,24.519999999999996,25.714999999999996,35.6,21.488979243076518,-22467.009445722128,-5138.065419939346,-16316.5337482199,-7301.651947214745,-4520.948292727882
2006-06-25 11:00:00,40050.284674746435,56963.83701535555,13284.565318125811,3684.7571808666403,15.6000003814697,24.481,25.696,24.32,24.52,25.715,37.2,21.487532366559428,-18242.081475073635,-8029.508472782045,-12129.203809633955,-9126.449925710926,-3965.914666414288
2006-06-25 12:00:00,39939.78275629758,57696.344655097826,14429.709415853891,4070.8049644027387,15.6000003814697,24.481,24.366,24.32,24.52,25.715,38.9,21.706788917539196,-18821.376024137142,-13181.105265788741,-8783.69564227015,-9361.469001211724,-4111.020748960505
2006-06-25 13:00:00,39639.395990856516,57849.2641047479,15101.450950571052,4324.97501734503,15.6000003814697,24.481,24.366,25.04,24.158,25.715,40.0,21.76162783934226,-19214.892970139925,-13151.171455763946,-6946.295522389475,-10817.266996347575,-6669.652198198845
2006-06-25 14:00:00,39607.19265940672,57870.07814033374,15309.469591255209,4463.838434506284,15.600000381469702,25.861,24.945000000000004,25.04,25.694,23.735,40.0,21.75623255305237,-19548.965459657935,-9968.25503629981,-6880.509018331484,-6050.729336950467,-15467.518397533824
2006-06-25 15:00:00,39316.59060211354,57219.63806077938,19648.192316996865,8655.358139386379,15.6000003814697,25.861,23.133,23.657,23.853,25.356,41.1,22.10809856701994,-19866.490153461902,-15647.412824230498,-10386.974458795703,-12249.844489506468,-17642.310473786314
2006-06-25 16:00:00,37219.619699963456,56866.50698259487,19666.56510549315,7117.426195592434,15.6000003814697,25.861,23.133,23.657,23.853,24.465,41.7,21.758685328664583,-22741.694130959542,-14165.379408301651,-9260.297966959042,-12598.905867100875,-21663.050991935255
2006-06-25 17:00:00,37901.50040488764,54302.11325893372,19650.319848206647,11284.899614734633,15.6000003814697,23.262,23.133,24.771,24.735,24.465,41.7,21.758685328664583,-39446.024722168906,-11806.40784247558,-5333.594225166905,-9244.28340124824,-19439.140281797776
2006-06-25 18:00:00,40474.32134410278,53222.62969137922,13553.108641233115,7513.76016535386,15.6000003814697,23.262,23.133,23.457,23.483,25.761,31.1,20.53762680021251,-32012.067413457968,-10020.755364271788,-7126.8466573171045,-10623.901847205525,-5066.857250847672
2006-06-25 19:00:00,39374.967473180855,54114.40085606789,9911.216887099165,2495.921382439614,15.600000381469702,24.895,23.133,25.903,25.976,25.761000000000003,33.3,19.60465014031784,-17855.172359957323,-8857.903602808485,-2762.8621579263654,-3791.0719331991545,-4144.10336160736
2006-06-25 20:00:00,37743.70745659601,52360.23137939741,10452.180547979984,3000.090404973489,15.600000381469702,23.629,23.133,25.903,23.107000000000003,25.761000000000003,34.4,19.042891003030704,-19314.383980050698,-7790.981139821046,-2758.7755180370605,-7283.772943334137,-3987.3306778470733
2006-06-25 21:00:00,38363.56132200605,53081.91773593069,9640.280537481634,2189.988998543956,15.6000003814697,25.661,25.086,25.903,24.58,23.807,33.3,19.356986872716398,-17736.59518028332,-3544.981954843251,-2745.7055312390903,-3539.5315214590887,-5722.48289969849
2006-06-25 22:00:00,38404.11848218161,52890.76386835521,9640.280537481634,2094.1052350970544,15.6000003814697,25.661,25.086,25.903,23.778,24.805,32.8,19.260608082615427,-17598.72659451722,-3465.6880467563033,-2642.295552001844,-4192.915011971417,-3552.2494524641224
2006-06-25 23:00:00,39129.97338698976,52012.00799138992,9653.698346712552,2640.140938239003,15.6000003814697,23.135,25.849,25.034,25.08,23.614,31.7,19.438006435230626,-23153.40482793673,-3480.759490608937,-2581.8404341475325,-3406.351701350619,-4061.394423944693
2006-06-26 00:00:00,39705.236508372385,53262.290373543525,9664.608539734883,2237.886938923118,15.6,25.661,23.402,25.879,23.778,24.263,31.7,19.667671286311165,-17252.392056586912,-5082.329312500347,-2565.17498349158,-4334.734243188792,-3422.3899518410335
2006-06-26 01:00:00,40227.74544882417,53188.10291970117,9640.541893402591,2196.7356072419857,15.6,25.661,23.402,23.776,25.636,25.997,30.6,19.516517180191336,-17257.03487674645,-4732.419500909845,-3217.8000052702887,-3362.9776158427862,-3353.758095052193
2006-06-26 02:00:00,40368.90247479778,53046.115377825394,9640.280537481634,2053.577198595542,15.6,25.661,23.402,25.429,23.72,25.997,30.0,19.28199845936125,-17143.61267637684,-3452.5127535046095,-2398.7415349163502,-3264.1077235496978,-3213.7844962186336
2006-06-26 03:00:00,41917.27484248334,54149.434663846,9720.413443078793,2085.798301968619,15.6,25.661,24.886,23.168,24.964,25.997,29.4,19.844177685603988,-16979.312946505284,-3199.1313629183414,-2949.3812493949104,-3178.487439892184,-3121.866917047013
2006-06-26 04:00:00,41302.5802542452,53278.54379117643,9641.534704885757,2128.5012377322837,15.6,23.171,23.708,25.553,24.398,25.997,29.4,19.442772951511845,-18021.672601910926,-3230.8398833386555,-2310.2697993363126,-3200.0308376623725,-3109.5635835767425
2006-06-26 05:00:00,40555.91537139729,53028.85142412968,9640.280537481634,2046.0731937666708,15.6,25.901,23.708,23.745,24.918,25.997,30.0,19.074118444989544,-16798.961594204015,-3240.6454717017295,-2523.677538664193,-3236.985223416655,-3079.7576416133925
2006-06-26 06:00:00,41095.1298973104,53346.97041534743,9640.280537481634,2449.316208448852,15.6,25.901,24.941,23.745,24.085,25.997,30.0,19.28547401404212,-17129.26036214645,-3366.7079412316252,-6615.358203775436,-4855.8102148059115,-3175.4995991612013
2006-06-26 07:00:00,35845.509330692556,53712.50523981548,12893.736950874321,3597.8908244000027,15.599999999999998,25.901,23.09,23.745,24.084999999999997,25.997,33.3,19.61781677802211,-24704.910188176786,-8651.693404245912,-15534.967972122333,-8971.63422278347,-4478.417691183346
2006-06-26 08:00:00,35286.95281730256,53899.12824744434,12512.481358435765,3192.809469246034,15.600000000000001,25.901,24.796,23.745000000000005,25.311000000000003,23.749,35.0,19.45792559015194,-26301.63757897323,-6377.821280171213,-17453.866081025146,-6718.618351729288,-6514.381195198916
2006-06-26 09:00:00,34937.953088005,54555.59609245961,15961.152256507872,4764.948586052206,15.599999999999998,25.901000000000003,23.848,24.621,23.047999999999995,23.749,36.7,19.988209570325385,-27487.233222981373,-10614.830918771378,-17951.327920376814,-13805.432686321214,-7868.7975695439745
2006-06-26 10:00:00,33874.79232717558,53160.73455695023,22022.917244779812,10384.914471978645,15.600000000000001,23.891,25.557,24.621,23.048,23.749,37.8,19.753421054207653,-53365.965252173744,-8596.774156661015,-17383.257015436735,-16378.725731320701,-8767.34917223431
2006-06-26 11:00:00,37271.35012306639,54115.74843713441,16327.484054211738,7172.459263876079,15.599999999999996,25.289,24.406999999999996,24.620999999999995,23.047999999999995,25.961,39.4,20.398251497950476,-26367.9257434562,-13617.616368735506,-13331.4315693896,-15148.22408191947,-4368.526431161381
2006-06-26 12:00:00,37782.19814944906,53891.548929908975,18684.547596842556,11013.19902112014,15.599999999999998,24.339999999999996,25.292,24.621,25.220999999999997,25.961,40.6,20.762645728683946,-48891.14923165282,-13932.19841274259,-10782.04634362214,-8818.755986607854,-5782.824622633396
2006-06-26 13:00:00,35105.477517160514,54303.99511194158,24960.55710635655,12333.555982459704,15.6,24.34,23.332,24.621,25.221,25.961,42.2,21.33566701635634,-58165.217702441325,-20595.825797013447,-10719.74504384452,-11150.42225006537,-9827.969396777544
2006-06-26 14:00:00,35135.62161477277,53664.68825519827,22603.329950205745,13119.174918159328,15.600000000000001,25.014000000000003,25.476,23.338,23.892000000000003,23.68,42.8,20.491411012016727,-43880.02176517968,-12385.818312643647,-13598.733840055122,-17478.90442642518,-19143.7091271763
2006-06-26 15:00:00,35744.60053730984,53330.972714114585,25322.13075545976,18592.424335625692,15.600000000000001,24.071,25.476,23.338,25.572,24.603,42.8,21.282849313147665,-62938.34227802434,-11893.613265007893,-12698.718397861696,-10414.505456050429,-20652.7088767779
2006-06-26 16:00:00,36031.93179124459,53897.21437117071,19924.208153966716,9590.600118018203,15.600000000000001,24.071,25.476,25.191,25.572,24.603,42.8,21.276372025728097,-47202.67024075501,-10798.098707867515,-6273.4404873549465,-9702.691562801518,-21542.402731127608
2006-06-26 17:00:00,35688.36450229768,52936.688319965644,19357.458724253003,10133.022873428128,15.600000000000001,24.071,23.527,25.191,25.572,24.603,43.3,20.75110466240028,-37786.090338061644,-15110.643973117541,-6128.206044229976,-10554.259688011325,-20209.11238465176
2006-06-26 18:00:00,35233.21297106976,53236.22747856051,16084.122408991643,5946.302118116733,15.599999999999998,25.209999999999997,23.527,25.190999999999995,24.441999999999997,24.603,42.2,20.149292385825063,-20232.259438617657,-12961.888776940843,-5800.013985013436,-12887.491174340252,-13829.423596850569
2006-06-26 19:00:00,34349.20395024334,52553.950984917785,12533.384678724793,3253.675631010655,15.6,25.21,23.527,25.191,25.613,24.603,40.6,19.64892562935339,-20263.514079721066,-10077.79315623265,-4703.976848265444,-5325.869257965041,-8016.4805524733265
2006-06-26 20:00:00,34523.202237033285,51678.41079358844,12838.482908126367,3838.187159375461,15.600000000000001,25.210000000000004,23.527,23.113,23.776000000000003,24.603,39.4,19.685079596364584,-20263.202484855152,-8458.52062425543,-7603.425239579687,-8653.789845142706,-5651.223621621359
2006-06-26 21:00:00,35115.708013457486,52196.43078675654,10758.960982287246,2509.554340515674,15.6,25.21,24.921,23.113,25.126,24.349,37.8,19.73616004643931,-19828.94908207776,-3741.1560663519235,-6574.525402227265,-3896.686592106418,-5168.080009253334
2006-06-26 22:00:00,37976.40457660737,54652.05874262035,10011.959361582141,2047.7705617146808,15.600000000000001,25.210000000000004,24.921000000000003,25.499000000000002,25.126000000000005,24.645000000000003,36.1,20.73468757709058,-19503.46246299296,-3762.2729777178324,-2569.451947383352,-3731.3945049404706,-3902.6874565843245
2006-06-26 23:00:00,34763.19702940262,51046.97890418469,10609.26701751265,2650.7210052783107,15.6,25.661,25.086,23.085,23.778,24.805,36.7,19.06690335489966,-19226.919083026125,-4039.983042188539,-5330.907003417073,-7670.330163974211,-3859.2207360387793
2006-06-27 00:00:00,35064.746704477846,50740.02050175887,9730.758829222965,2236.6403487892335,15.6,25.758,23.731,25.499,25.126,24.425,35.0,18.882040817444295,-18969.399370402778,-6149.861926211232,-2514.896345699309,-3584.4953075792373,-3771.346752747349
2006-06-27 01:00:00,35492.634185332594,48902.123276929895,11008.997095716179,4196.827888033228,15.599999999999998,23.164,25.379,23.388,25.126,24.424999999999997,33.9,18.990680646688553,-33393.444372439284,-3695.5437936402404,-4069.4036188214286,-3618.229841000259,-3736.618344113329
